company_age_years,annual_revenue_lakhs,profit_margin_pct,monthly_burn_rate_lakhs,market_size_cr,team_size,sector,business_model,required_investment_lakhs,monthly_active_users,growth_rate_pct,investment_ready,recommended_investor_type,suggested_funding_range
5,33.5,-7.27,1.47,210.12,49,AI/ML,Subscription,96.59,80712,-28.53,0,Angel,₹0–3L
4,15.14,-7.81,1.0,134.72,44,E-commerce,B2C,29.06,53210,-3.16,0,Angel,₹0–3L
15,81.91,-18.55,14.86,233.55,63,EdTech,Marketplace,123.75,123862,3.91,0,Angel,₹0–3L
0,82.42,17.83,14.3,431.01,58,AI/ML,Subscription,256.34,190995,18.39,1,Angel,₹0–3L
14,23.87,17.94,1.85,125.98,19,SaaS,Subscription,35.29,53380,-13.26,1,Angel,₹0–3L
19,13.79,18.13,2.85,125.98,68,E-commerce,Subscription,42.04,78436,-3.22,1,Angel,₹0–3L
4,82.52,11.7,4.09,448.29,59,SaaS,B2B,157.89,280401,12.93,1,Angel,₹0–3L
12,90.18,-17.57,21.0,253.97,57,HealthTech,Marketplace,87.08,180890,9.81,0,Angel,₹0–3L
13,18.92,-4.32,1.25,106.84,96,Entertainment,Marketplace,42.78,54367,15.3,1,Angel,₹0–3L
1,83.12,10.07,3.22,216.98,91,AgriTech,Marketplace,100.82,73022,17.49,1,Angel,₹0–3L
1,40.9,9.64,4.01,107.3,57,AI/ML,Marketplace,31.53,46871,15.88,1,Angel,₹0–3L
18,10.79,5.33,1.0,107.12,54,SaaS,B2C,10.0,84628,13.35,1,Angel,₹0–3L
18,19.7,12.43,2.78,175.8,67,E-commerce,Subscription,21.15,105153,11.87,1,Angel,₹0–3L
11,17.6,8.14,3.13,50.0,25,FinTech,Marketplace,46.75,32743,20.65,1,Angel,₹0–3L
16,9.37,9.45,1.25,50.0,25,AgriTech,B2B2C,27.95,15183,-22.8,0,Angel,₹0–3L
1,5.16,0.33,1.0,100.12,56,HealthTech,B2B2C,15.77,55979,33.19,1,Angel,₹0–3L
10,10.65,19.79,1.11,73.04,18,AgriTech,B2C,12.41,23282,-21.42,1,Angel,₹0–3L
16,47.93,2.84,1.27,184.93,54,AgriTech,B2B2C,115.75,108112,-5.95,0,Angel,₹0–3L
13,25.92,-7.96,6.32,78.6,43,AI/ML,B2B2C,26.88,59766,5.94,0,Angel,₹0–3L
8,5.34,-1.25,1.11,55.22,18,EdTech,B2B2C,12.24,43306,19.98,1,Angel,₹0–3L
18,36.72,3.83,1.35,414.04,40,FinTech,B2C,115.27,236115,-30.0,0,Angel,₹0–3L
18,47.23,19.94,5.82,126.72,72,EdTech,Subscription,20.35,67046,11.24,1,Angel,₹0–3L
0,48.69,7.5,8.08,155.6,42,Entertainment,B2C,168.1,120200,22.51,1,Angel,₹0–3L
4,14.04,5.77,1.0,54.74,42,AgriTech,B2B,41.36,34861,25.4,1,Angel,₹0–3L
18,32.36,-6.98,4.95,101.39,48,FinTech,B2B,88.59,33705,-1.04,0,Angel,₹0–3L
1,32.1,17.43,4.58,160.4,51,E-commerce,B2B2C,80.63,85469,6.94,0,Angel,₹0–3L
13,20.92,0.18,1.42,66.31,31,SaaS,B2B2C,57.83,27857,0.77,0,Angel,₹0–3L
18,34.78,6.81,1.82,193.06,48,Entertainment,Subscription,121.11,103266,4.68,1,Angel,₹0–3L
7,13.2,25.77,2.57,97.47,13,E-commerce,B2B2C,36.5,51438,-3.33,1,Angel,₹0–3L
16,36.92,14.11,3.48,121.0,20,EdTech,B2B,52.62,71521,-2.16,0,Angel,₹0–3L
1,19.18,-11.53,1.46,97.4,23,Entertainment,B2B2C,43.43,46593,15.55,0,Angel,₹0–3L
16,213.55,-13.18,40.51,542.72,51,AgriTech,Subscription,294.31,207392,10.88,0,Seed Fund,₹0–3L
7,25.33,7.23,4.8,147.02,44,EdTech,B2B,86.24,81133,17.98,1,Angel,₹0–3L
13,26.37,-6.55,2.2,70.78,36,EdTech,B2B2C,83.88,50616,12.66,0,Angel,₹0–3L
